name,lower,upper,plus
Pat McGee Band,5.0,10.0,0
Pat Travers,15.0,20.0,0
Paul Wall,10.0,20.0,0
Pearl Jam,300.0,500.0,0
People Under the Stai,7.0,10.0,0
Pepper,25.0,50.0,0
Perpetual Groove,10.0,15.0,0
Pharrell Williams,125.0,175.0,1
Phil Vassar,40.0,75.0,0
Philip 7,3.0,5.0,0
Phillip Phillips,65.0,85.0,0
Phoenix,100.0,100.0,1
Phosphorescent,7.5,7.5,0
Pink,400.0,600.0,1
Pitbull,200.0,300.0,1
Plain White T's,30.0,40.0,0
Pleasure P,15.0,20.0,0
Plies,20.0,30.0,0
Portugal the Man,10.0,15.0,0
Presidents of the USA,15.0,20.0,0
Pretty Lights,150.0,150.0,1
Public Enemy,20.0,30.0,1
Puddle of Mudd,35.0,50.0,0
Q-Tip,25.0,30.0,0
Queens of the Stone A,75.0,125.0,0
Quiet Riot,12.5,25.0,0
Quietdrive,5.0,10.0,0
R3hab,25.0,35.0,0
RED,25.0,30.0,0
Ra Ra Riot,10.0,20.0,0
Rakim,15.0,20.0,1
Rascal Flatts,400.0,600.0,1
Ratking,2.5,2.5,0
Ray Price,20.0,20.0,0
Rebirth Brass Band,10.0,15.0,0
Red Jumpsuit Apparat,15.0,25.0,0
Red Wanting Blue,5.0,10.0,0
Redlight King,15.0,25.0,1
Redman/Methodman,30.0,40.0,0
Reel Big Fish,15.0,20.0,0
Regina Spektor,35.0,50.0,1
Rehab,7.0,15.0,0
Relient K,25.0,30.0,0
Rev Theory,10.0,20.0,0
RhettAtkins,10.0,15.0,0
Rick Ross,30.0,50.0,0
Rick Springfield,40.0,60.0,0
Rihanna,500.0,750.0,1
Rise Against,75.0,100.0,1
Rob Thomas,100.0,200.0,0
Robert Randolph,20.0,30.0,0
Robin Thicke,150.0,250.0,1
Rogue Wave,15.0,20.0,0
Rooney,12.5,20.0,0
Rufus Waimight(solo),25.0,35.0,0
Rusted Root,12.5,20.0,0
Ryan Cabrera,7.0,10.0,0
Ryan Star,7.0,10.0,1
Rye Rye,5.0,5.0,0
SafetySuit,7.5,15.0,0
Sam Moore,20.0,20.0,1
Sammy Adams,25.0,35.0,0
Santigold,40.0,60.0,0
Sara Bareilles,50.0,75.0,0
Sara Evans,50.0,75.0,1
Saving Abel,20.0,20.0,1
Say Anything,25.0,350.0,0
Scan Kingston,30.0,30.0,1
Scarletta,2.0,5.0,0
Scary Kids Scaring K,5.0,10.0,0
Schoolboy Q,25.0,40.0,0
Scratch & Haag,2.0,5.0,0
Sea Wolf,10.0,10.0,1
Sebastian Ingrosso,100.0,100.0,0
Secondhand Serenade,10.0,17.5,0
Secret Machines,8.0,10.0,0
Seether,75.0,100.0,0
Selena Gomez,85.0,125.0,1
Sevendust,30.0,40.0,0
Sevyn Streeter,30.0,40.0,0
Shakira,300.0,500.0,0
Shawn Mullins,10.0,15.0,0
She Wants Revenge,20.0,20.0,1
Shedaisy,40.0,60.0,1
Sheryl Crow,150.0,200.0,0
Shinedown,75.0,100.0,1
Shooter Jennings,15.0,20.0,0
Shwayze,10.0,15.0,0
Sick Puppies,25.0,35.0,0
Sierra Leone's Rufuge,10.0,10.0,0
Silversun Pickups,25.0,40.0,0
Simple Plan,25.0,40.0,0
Sister Hazel,15.0,25.0,0
Skillet,50.0,75.0,1
Slash,45.0,65.0,0
Sleigh Bells,30.0,30.0,0
Slightly Stoopid,40.0,60.0,1
Slum Village,15.0,20.0,0
Smash Mouth,40.0,60.0,0
Smashing Pumpkins,200.0,400.0,0
Snoop Dog/Lion,75.0,100.0,0
Snow Patrol,50.0,50.0,1
Soka Kartel,3.0,5.0,0
Solange Knowles,10.0,20.0,0
Sons of Sylvia,5.0,10.0,1
Soul Asylum,20.0,20.0,1
Soulja Boy,50.0,75.0,1
Spearhead,20.0,20.0,1
Sponge,7.0,10.0,0
Spoon,30.0,30.0,1
Spring Standards,5.0,10.0,0
St. Lucia,10.0,15.0,0
St. Vincent,20.0,30.0,1
Staind,60.0,80.0,0
State Radio,15.0,25.0,0
Steel Train,15.0,20.0,1
Stephen Kellogg,7.0,10.0,0
Steve Aoki,50.0,75.0,1
Steve Martin & Steep,75.0,100.0,0
Steve Miller Band,100.0,200.0,0
Steven Marley,15.0,20.0,0
Stockholm Syndrome,20.0,25.0,0
Stone Temple Pilots,250.0,400.0,1
Story of the Year,10.0,15.0,0
Street Dogs,7.5,7.5,0
Street Drum Corps,5.0,10.0,0
Stroke 9,7.0,10.0,0
Sublime w/ Rome,100.0,150.0,1
Sugar Ray,30.0,50.0,0
Sugarcult,10.0,10.0,1
Sugarland,200.0,300.0,0
Sum 41,30.0,50.0,0
Super Mash Bros,15.0,20.0,0
Surfer Blood,10.0,15.0,0
Susan Boyle,150.0,250.0,0
Switchfoot,30.0,40.0,0
T-Pain,35.0,45.0,0
Taio Cruz,90.0,120.0,0
Taking Back Sunday,50.0,75.0,1
Talib Kweli,25.0,30.0,1
Tame Impala,10.0,10.0,1
Taylor Swift,1000.0,1000.0,1
Teddy Geiger,5.0,10.0,0
Terri Clark,30.0,50.0,0
The 88,5.0,5.0,1
The Almost,8.0,10.0,1
The Alternate Routes,5.0,10.0,0
The Antlers,10.0,15.0,0
The Avett Bros,175.0,250.0,0
The Band Perry,150.0,250.0,1
